"","PosCorr","NegCorr"
"ALGERIA","KENYA, CONGODR, MOROCCO","MAURITANIA, BENIN, SENEGAL"
"ANGOLA","ETHIOPIA, SIERRALEONE, CONGODR","COMOROS, ERITREA, GAMBIA"
"BENIN","TUNISIA, SEYCHELLES, CABOVERDE","MAURITIUS, CAR, BURKINAFASO"
"BOTSWANA","ZIMBABWE, KENYA, MAURITIUS","BENIN, BURKINAFASO, ETHIOPIA"
"BURKINAFASO","BENIN, TANZANIA, ANGOLA","MOROCCO, BOTSWANA, SAOTOME"
"BURUNDI","SIERRALEONE, EGYPT, DJIBOUTI","CABOVERDE, UGANDA, LESOTHO"
"CABOVERDE","EQGUINEA, ALGERIA, EGYPT","DJIBOUTI, CONGODR, BURUNDI"
"CAMEROON","LESOTHO, EGYPT, LIBERIA","SEYCHELLES, SENEGAL, GUINEABISSAU"
"CAR",NA,NA
"CHAD","SIERRALEONE, SUDAN, TANZANIA","SEYCHELLES, IVORYCOAST, BOTSWANA"
"COMOROS","CAMEROON, LIBERIA, GAMBIA","ETHIOPIA, UGANDA, ZAMBIA"
"CONGODR",NA,NA
"CONGOREPUB","CAMEROON, BOTSWANA, DJIBOUTI","GUINEA, SEYCHELLES, MOROCCO"
"DJIBOUTI","CONGODR, SIERRALEONE, LIBERIA","EGYPT, SUDAN, CABOVERDE"
"EGYPT","SUDAN, SENEGAL, CAMEROON","GHANA, UGANDA, BENIN"
"EQGUINEA",NA,NA
"ERITREA","COMOROS, CONGOREPUB, BOTSWANA","SAOTOME, ANGOLA, SOUTHAFRICA"
"ETHIOPIA",NA,NA
"GABON","CONGOREPUB, DJIBOUTI, BOTSWANA","NIGER, EGYPT, BENIN"
"GAMBIA","SAOTOME, ALGERIA, MAURITIUS","GHANA, ETHIOPIA, GUINEABISSAU"
"GHANA","TANZANIA, GUINEA, ETHIOPIA","CONGOREPUB, SOUTHAFRICA, GABON"
"GUINEA","MOZAMBIQUE, ETHIOPIA, ZIMBABWE","SIERRALEONE, CONGOREPUB, CAMEROON"
"GUINEABISSAU","CONGODR, CHAD, KENYA","LIBERIA, SEYCHELLES, EQGUINEA"
"IVORYCOAST","TOGO, SAOTOME, MOROCCO","ERITREA, CONGOREPUB, ETHIOPIA"
"KENYA","BURUNDI, MAURITANIA, NIGER","EQGUINEA, CABOVERDE, BENIN"
"LESOTHO","SOMALIA, EGYPT, BOTSWANA","GHANA, DJIBOUTI, MADAGASCAR"
"LIBERIA",NA,NA
"LIBYA",NA,NA
"MADAGASCAR","SEYCHELLES, LIBERIA, CABOVERDE","EGYPT, CONGOREPUB, TUNISIA"
"MALAWI","ANGOLA, TOGO, UGANDA","BURKINAFASO, RWANDA, COMOROS"
"MALI","TANZANIA, COMOROS, SEYCHELLES","MAURITANIA, ZIMBABWE, BOTSWANA"
"MAURITANIA","ALGERIA, SAOTOME, ANGOLA","ERITREA, SUDAN, RWANDA"
"MAURITIUS","BOTSWANA, UGANDA, IVORYCOAST","NIGER, BENIN, ETHIOPIA"
"MOROCCO","SOUTHAFRICA, MALAWI, IVORYCOAST","ERITREA, NAMIBIA, NIGERIA"
"MOZAMBIQUE","GHANA, MADAGASCAR, ETHIOPIA","ERITREA, EGYPT, CONGOREPUB"
"NAMIBIA","SAOTOME, TANZANIA, MOZAMBIQUE","ERITREA, CABOVERDE, EGYPT"
"NIGER","GHANA, TANZANIA, LESOTHO","TUNISIA, BOTSWANA, ALGERIA"
"NIGERIA","UGANDA, SIERRALEONE, MOZAMBIQUE","ERITREA, ZIMBABWE, BENIN"
"RWANDA","ANGOLA, TOGO, CAMEROON","GUINEA, SEYCHELLES, COMOROS"
"SAOTOME","SOUTHAFRICA, IVORYCOAST, GABON","ERITREA, BURKINAFASO, MALI"
"SENEGAL","TANZANIA, GHANA, CHAD","BOTSWANA, EGYPT, TUNISIA"
"SEYCHELLES","TOGO, MAURITIUS, CHAD","BENIN, SENEGAL, CONGOREPUB"
"SIERRALEONE","DJIBOUTI, ZAMBIA, RWANDA","MALAWI, ERITREA, SUDAN"
"SOMALIA","SUDAN, GABON, LIBERIA","TANZANIA, ANGOLA, BURUNDI"
"SOUTHAFRICA","SAOTOME, MAURITANIA, CONGODR","ERITREA, GUINEABISSAU, BURKINAFASO"
"SUDAN","BURKINAFASO, GABON, TANZANIA","KENYA, LESOTHO, BOTSWANA"
"TANZANIA","CONGODR, DJIBOUTI, CHAD","BOTSWANA, CONGOREPUB, ZIMBABWE"
"TOGO","SAOTOME, ETHIOPIA, SOUTHAFRICA","CHAD, CONGOREPUB, ERITREA"
"TUNISIA","BOTSWANA, MALAWI, LESOTHO","BENIN, ZAMBIA, ALGERIA"
"UGANDA","MOZAMBIQUE, ETHIOPIA, CABOVERDE","CAMEROON, ERITREA, COMOROS"
"ZAMBIA","ANGOLA, TANZANIA, CONGODR","ERITREA, MAURITIUS, ZIMBABWE"
"ZIMBABWE",NA,NA
