"","relations"
"ALGERIA","BOTSWANA, BURUNDI, CAMEROON, CAR, COMOROS, CONGOREPUB, GABON, GAMBIA, IVORYCOAST, KENYA, LESOTHO, MALAWI, MAURITIUS, MOROCCO, SEYCHELLES, SOUTHAFRICA, TOGO, TUNISIA"
"ANGOLA","NIGER, ZAMBIA"
"BENIN","BURKINAFASO, CABOVERDE, CAR, GUINEA, GUINEABISSAU, MALI, SENEGAL, SUDAN"
"BOTSWANA","ALGERIA, CAR"
"BURKINAFASO","BENIN, CAR, MALI, SENEGAL, SUDAN"
"BURUNDI","ALGERIA, CAR, CONGOREPUB"
"CABOVERDE","BENIN, CAR, MALI, SENEGAL"
"CAMEROON","ALGERIA, CAR, COMOROS, CONGOREPUB, RWANDA"
"CAR",NA
"CHAD","GHANA, MADAGASCAR, NIGER"
"COMOROS","ALGERIA, CAR, CONGOREPUB"
"CONGODR",NA
"CONGOREPUB","ALGERIA, CAMEROON, CAR, COMOROS"
"DJIBOUTI","CAR, RWANDA, SIERRALEONE"
"EGYPT","CAR, GAMBIA, GUINEABISSAU, LESOTHO"
"EQGUINEA",NA
"ERITREA","GUINEABISSAU"
"ETHIOPIA",NA
"GABON","ALGERIA, CAR, IVORYCOAST"
"GAMBIA","ALGERIA, CAR, EGYPT, GUINEABISSAU, KENYA, LESOTHO, MALAWI, MALI, MAURITIUS, MOROCCO, SEYCHELLES, TUNISIA"
"GHANA","CHAD, MADAGASCAR, NIGER"
"GUINEA","BENIN, CAR, GUINEABISSAU, MALI, SENEGAL"
"GUINEABISSAU","BENIN, BOTSWANA, BURKINAFASO, CABOVERDE, CAR, EGYPT, ERITREA, GAMBIA, GUINEA, LESOTHO, MALAWI, MALI, MOROCCO, SEYCHELLES, SUDAN, TANZANIA, TUNISIA"
"IVORYCOAST","ALGERIA, CAR, GABON"
"KENYA","ALGERIA, CAR, GAMBIA, LESOTHO, MALAWI, MOROCCO, SEYCHELLES, TOGO"
"LESOTHO","ALGERIA, CAR, EGYPT, GAMBIA, GUINEABISSAU, KENYA, MALAWI, MALI, MAURITIUS, MOROCCO, SEYCHELLES, SOMALIA, TUNISIA"
"LIBERIA",NA
"LIBYA",NA
"MADAGASCAR","BURKINAFASO, CAR, CHAD, GHANA, MALI, MAURITANIA, MOZAMBIQUE, NIGERIA, RWANDA, SENEGAL, SUDAN, TANZANIA, UGANDA, ZAMBIA"
"MALAWI","ALGERIA, CAR, GAMBIA, GUINEABISSAU, KENYA, LESOTHO, MALI, MAURITANIA, MAURITIUS, MOROCCO, NAMIBIA, SEYCHELLES, SOUTHAFRICA, TOGO, TUNISIA"
"MALI","BENIN, BURKINAFASO, CABOVERDE, CAR, GAMBIA, GUINEA, GUINEABISSAU, LESOTHO, MALAWI, MAURITANIA, SENEGAL, SUDAN, TANZANIA, UGANDA"
"MAURITANIA","ALGERIA, BENIN, BURKINAFASO, CAR, GUINEA, MADAGASCAR, MALAWI, MALI, NAMIBIA, RWANDA, SENEGAL, SOMALIA, SOUTHAFRICA, SUDAN, TANZANIA, TOGO, UGANDA"
"MAURITIUS","ALGERIA, CAR, GAMBIA, LESOTHO, MALAWI, MOROCCO, SEYCHELLES, TOGO, TUNISIA"
"MOROCCO","ALGERIA, CAR, GAMBIA, GUINEABISSAU, KENYA, LESOTHO, MALAWI, MAURITIUS, SEYCHELLES, TOGO, TUNISIA"
"MOZAMBIQUE","CAR, MADAGASCAR"
"NAMIBIA","ALGERIA, CAR, MALAWI, MAURITANIA, SOUTHAFRICA, TOGO"
"NIGER","ANGOLA, CHAD, EQGUINEA, GHANA, MADAGASCAR, ZAMBIA"
"NIGERIA","CAR, MADAGASCAR, RWANDA, ZAMBIA"
"RWANDA","ALGERIA, CAMEROON, CAR, MADAGASCAR, MALI, MAURITANIA, MOROCCO, NAMIBIA, NIGERIA, SIERRALEONE, SOUTHAFRICA, TANZANIA, TOGO"
"SAOTOME","CAR"
"SENEGAL","BENIN, BURKINAFASO, CABOVERDE, CAR, GUINEA, MADAGASCAR, MALI, MAURITANIA, SUDAN, TANZANIA"
"SEYCHELLES","ALGERIA, CAR, GAMBIA, GUINEABISSAU, KENYA, LESOTHO, MALAWI, MAURITIUS, MOROCCO, TOGO, TUNISIA"
"SIERRALEONE","DJIBOUTI, RWANDA"
"SOMALIA","CABOVERDE, CAR, GAMBIA, LESOTHO, MALI, SEYCHELLES, TUNISIA"
"SOUTHAFRICA","ALGERIA, CAR, MALAWI, MALI, MAURITANIA, NAMIBIA, RWANDA, TOGO"
"SUDAN","BENIN, BURKINAFASO, CAR, MADAGASCAR, MALI, SENEGAL"
"TANZANIA","CAR, GUINEABISSAU, MALI, MAURITANIA, SENEGAL, SUDAN"
"TOGO","ALGERIA, BURUNDI, CAR, COMOROS, GAMBIA, KENYA, LESOTHO, MALAWI, MALI, MAURITANIA, MAURITIUS, MOROCCO, NAMIBIA, RWANDA, SEYCHELLES, SOMALIA, SOUTHAFRICA, TUNISIA"
"TUNISIA","ALGERIA, CAR, GAMBIA, GUINEABISSAU, LESOTHO, MALAWI, MAURITIUS, MOROCCO, SEYCHELLES, SOMALIA"
"UGANDA","CAR, MADAGASCAR, MALI, MAURITANIA"
"ZAMBIA","ANGOLA, MADAGASCAR, NIGER, NIGERIA"
"ZIMBABWE",NA
