"","Estimation type","Ljung-Box statistic with lag order 1","Ljung-Box p-value","Reject H0 at 95% confidence?","Number time series observations"
"ALGERIA","NLS-1","3.16684155737444","0.0751476400706051","FALSE","55"
"ANGOLA","OLS","0.000276637747240803","0.986729852265898","FALSE","54"
"BENIN","NLS-1","0.483660122080011","0.486769092559293","FALSE","55"
"BOTSWANA","NLS-1","0.874057686525974","0.349834413423991","FALSE","54"
"BURKINAFASO","NLS-1","0.273470921156788","0.601012895250205","FALSE","55"
"BURUNDI","NLS-1","0.13584219393692","0.712449929824287","FALSE","55"
"CABOVERDE","OLS","8.20672859943582","0.00417353292689049","TRUE","54"
"CAMEROON","NLS-1","1.84122035639019","0.174807981357542","FALSE","54"
"CAR","NLS-2","0.0014653978481719","0.969464025972476","FALSE","54"
"CHAD","NLS-1","2.71318371874038","0.0995221907397201","FALSE","54"
"COMOROS","NLS-1","0.899210396907419","0.342993521001989","FALSE","55"
"CONGODR","NLS-2","2.58769369511716","0.107697051492352","FALSE","54"
"CONGOREPUB","NLS-1","1.08962121779072","0.296555149988152","FALSE","54"
"DJIBOUTI","NLS-1","0.137670186396756","0.710608236131296","FALSE","54"
"EGYPT","NLS-1","0.533383116796073","0.46518798945302","FALSE","54"
"EQGUINEA","NLS-2","0.0364992319489781","0.848488205193012","FALSE","54"
"ERITREA","OLS","1.50531894805842","0.219854765187608","FALSE","54"
"ETHIOPIA","NLS-2","0.979237980605159","0.322387008905404","FALSE","54"
"GABON","NLS-1","0.435445747329693","0.509328829933418","FALSE","54"
"GAMBIA","NLS-1","0.956787904830005","0.327997491849618","FALSE","54"
"GHANA","OLS","1.58034961574842","0.208710341360426","FALSE","54"
"GUINEA","NLS-1","0.0343634581955477","0.852935830459872","FALSE","54"
"GUINEABISSAU","NLS-1","0.845053213941642","0.357955536853862","FALSE","54"
"IVORYCOAST","NLS-1","3.01894570684783","0.08229695160196","FALSE","55"
"KENYA","NLS-1","0.105864604974726","0.744902257894349","FALSE","55"
"LESOTHO","NLS-1","0.779108113637838","0.377414049183477","FALSE","54"
"LIBERIA","NLS-2","0.000143390223667665","0.990445907234644","FALSE","54"
"LIBYA","NLS-2","0.0550782199632757","0.814451294816018","FALSE","54"
"MADAGASCAR","NLS-1","2.35691735708722","0.124728444971207","FALSE","54"
"MALAWI","NLS-1","0.845881152748221","0.35772015711076","FALSE","54"
"MALI","NLS-1","0.0595956370087085","0.807136197766046","FALSE","55"
"MAURITANIA","OLS","0.0647804286856092","0.799093857554408","FALSE","54"
"MAURITIUS","OLS","0.364181546000975","0.546193033658999","FALSE","54"
"MOROCCO","NLS-1","3.6666477296805","0.0555117288827575","FALSE","54"
"MOZAMBIQUE","NLS-1","12.3497209832685","0.000441052385521723","TRUE","55"
"NAMIBIA","NLS-1","0.213958876777841","0.64368201516099","FALSE","54"
"NIGER","NLS-1","0.680150955290533","0.409534748063247","FALSE","55"
"NIGERIA","NLS-1","0.00417340315860132","0.948490986218808","FALSE","54"
"RWANDA","NLS-1","0.500146169114116","0.479435903791281","FALSE","54"
"SAOTOME","NLS-1","6.31486002064713","0.0119730197327089","TRUE","54"
"SENEGAL","OLS","0.124707092700543","0.723984300563148","FALSE","54"
"SEYCHELLES","NLS-1","0.186839851249338","0.665559900456008","FALSE","55"
"SIERRALEONE","NLS-1","0.306614891521381","0.579764890123812","FALSE","54"
"SOMALIA","NLS-1","0.494901826456897","0.481748822016454","FALSE","55"
"SOUTHAFRICA","NLS-1","0.410730002049161","0.521599217543488","FALSE","54"
"SUDAN","OLS","1.13329508010101","0.287073582197709","FALSE","54"
"TANZANIA","NLS-1","0.934791055043797","0.33362105917335","FALSE","54"
"TOGO","OLS","0.00856850605061928","0.926248176880027","FALSE","54"
"TUNISIA","NLS-1","0.000134447143511376","0.99074862852522","FALSE","55"
"UGANDA","OLS","0.51494306333327","0.473006835497365","FALSE","54"
"ZAMBIA","NLS-1","0.000676486001137676","0.979249885143049","FALSE","55"
"ZIMBABWE","NLS-2","0.608412851203087","0.435386026272","FALSE","54"
