"Countries","ResidualCorrelation"
"ALGERIA (NLS-1) and ANGOLA (OLS)",0.0806527410456848
"ALGERIA (NLS-1) and BENIN (NLS-1)",0.248678770235308
"ANGOLA (OLS) and BENIN (NLS-1)",-0.14963668280023
"ALGERIA (NLS-1) and BOTSWANA (NLS-1)",-0.140843907058475
"ANGOLA (OLS) and BOTSWANA (NLS-1)",-0.0316054262619176
"BENIN (NLS-1) and BOTSWANA (NLS-1)",-0.0717863801558484
"ALGERIA (NLS-1) and BURKINAFASO (NLS-1)",-0.0260425593300746
"ANGOLA (OLS) and BURKINAFASO (NLS-1)",0.107892970274393
"BENIN (NLS-1) and BURKINAFASO (NLS-1)",0.0748826293904005
"BOTSWANA (NLS-1) and BURKINAFASO (NLS-1)",-0.0704771929605921
"ALGERIA (NLS-1) and BURUNDI (NLS-1)",-0.132687693807604
"ANGOLA (OLS) and BURUNDI (NLS-1)",-0.0772494730288115
"BENIN (NLS-1) and BURUNDI (NLS-1)",0.135414398705225
"BOTSWANA (NLS-1) and BURUNDI (NLS-1)",-0.119326625818575
"BURKINAFASO (NLS-1) and BURUNDI (NLS-1)",0.0190164741256176
"ALGERIA (NLS-1) and CABOVERDE (OLS)",-0.0313316801941489
"ANGOLA (OLS) and CABOVERDE (OLS)",0.134233572076478
"BENIN (NLS-1) and CABOVERDE (OLS)",0.0627657031163431
"BOTSWANA (NLS-1) and CABOVERDE (OLS)",0.234298300254584
"BURKINAFASO (NLS-1) and CABOVERDE (OLS)",-0.150226258338819
"BURUNDI (NLS-1) and CABOVERDE (OLS)",-0.00937967080852044
"ALGERIA (NLS-1) and CAMEROON (NLS-1)",0.153836208517745
"ANGOLA (OLS) and CAMEROON (NLS-1)",0.233951308783823
"BENIN (NLS-1) and CAMEROON (NLS-1)",0.372276987168414
"BOTSWANA (NLS-1) and CAMEROON (NLS-1)",0.142564122067549
"BURKINAFASO (NLS-1) and CAMEROON (NLS-1)",0.0674619242638403
"BURUNDI (NLS-1) and CAMEROON (NLS-1)",-0.0355165531697713
"CABOVERDE (OLS) and CAMEROON (NLS-1)",0.0605107906595157
"ALGERIA (NLS-1) and CAR (NLS-2)",0.119893659624321
"ANGOLA (OLS) and CAR (NLS-2)",0.0695713690314441
"BENIN (NLS-1) and CAR (NLS-2)",-0.0913467165418509
"BOTSWANA (NLS-1) and CAR (NLS-2)",-0.0850479684817276
"BURKINAFASO (NLS-1) and CAR (NLS-2)",-0.0797424285714075
"BURUNDI (NLS-1) and CAR (NLS-2)",0.0707523754696584
"CABOVERDE (OLS) and CAR (NLS-2)",0.0508258376688639
"CAMEROON (NLS-1) and CAR (NLS-2)",-0.020677450549751
"ALGERIA (NLS-1) and CHAD (NLS-1)",-0.0186910811696225
"ANGOLA (OLS) and CHAD (NLS-1)",0.0854111941155501
"BENIN (NLS-1) and CHAD (NLS-1)",-0.0645796515967093
"BOTSWANA (NLS-1) and CHAD (NLS-1)",0.112592528677882
"BURKINAFASO (NLS-1) and CHAD (NLS-1)",-0.036621563608173
"BURUNDI (NLS-1) and CHAD (NLS-1)",0.0418173891969215
"CABOVERDE (OLS) and CHAD (NLS-1)",0.231689914528378
"CAMEROON (NLS-1) and CHAD (NLS-1)",0.0167370661558229
"CAR (NLS-2) and CHAD (NLS-1)",0.216544965531838
"ALGERIA (NLS-1) and COMOROS (NLS-1)",0.161790338722258
"ANGOLA (OLS) and COMOROS (NLS-1)",-0.257971176934699
"BENIN (NLS-1) and COMOROS (NLS-1)",0.0683508831868872
"BOTSWANA (NLS-1) and COMOROS (NLS-1)",0.060157613961064
"BURKINAFASO (NLS-1) and COMOROS (NLS-1)",-0.0893203460777061
"BURUNDI (NLS-1) and COMOROS (NLS-1)",-0.0837442303921278
"CABOVERDE (OLS) and COMOROS (NLS-1)",0.086442655697083
"CAMEROON (NLS-1) and COMOROS (NLS-1)",-0.0954074368633008
"CAR (NLS-2) and COMOROS (NLS-1)",-0.136575782875097
"CHAD (NLS-1) and COMOROS (NLS-1)",-0.184565455892339
"ALGERIA (NLS-1) and CONGODR (NLS-2)",-0.289008797714935
"ANGOLA (OLS) and CONGODR (NLS-2)",0.326010975725961
"BENIN (NLS-1) and CONGODR (NLS-2)",-0.12948005807426
"BOTSWANA (NLS-1) and CONGODR (NLS-2)",0.0614593572180553
"BURKINAFASO (NLS-1) and CONGODR (NLS-2)",0.0844230458948844
"BURUNDI (NLS-1) and CONGODR (NLS-2)",-0.123382179522632
"CABOVERDE (OLS) and CONGODR (NLS-2)",-0.0549372260105738
"CAMEROON (NLS-1) and CONGODR (NLS-2)",0.25444415509342
"CAR (NLS-2) and CONGODR (NLS-2)",0.0350475579930744
"CHAD (NLS-1) and CONGODR (NLS-2)",0.0863751342897179
"COMOROS (NLS-1) and CONGODR (NLS-2)",-0.0445374415580059
"ALGERIA (NLS-1) and CONGOREPUB (NLS-1)",-0.100885552645275
"ANGOLA (OLS) and CONGOREPUB (NLS-1)",-0.0142228647099311
"BENIN (NLS-1) and CONGOREPUB (NLS-1)",0.0347888986999577
"BOTSWANA (NLS-1) and CONGOREPUB (NLS-1)",-0.161677268370834
"BURKINAFASO (NLS-1) and CONGOREPUB (NLS-1)",0.0378297921011951
"BURUNDI (NLS-1) and CONGOREPUB (NLS-1)",-0.228913561608714
"CABOVERDE (OLS) and CONGOREPUB (NLS-1)",-0.234913056472905
"CAMEROON (NLS-1) and CONGOREPUB (NLS-1)",-0.14562266321281
"CAR (NLS-2) and CONGOREPUB (NLS-1)",-0.069345671469117
"CHAD (NLS-1) and CONGOREPUB (NLS-1)",0.046563210633227
"COMOROS (NLS-1) and CONGOREPUB (NLS-1)",0.117092742158398
"CONGODR (NLS-2) and CONGOREPUB (NLS-1)",-0.0335349165609157
"ALGERIA (NLS-1) and DJIBOUTI (NLS-1)",0.0549076572486163
"ANGOLA (OLS) and DJIBOUTI (NLS-1)",0.231045192518474
"BENIN (NLS-1) and DJIBOUTI (NLS-1)",-0.153346421495199
"BOTSWANA (NLS-1) and DJIBOUTI (NLS-1)",0.0222942766152385
"BURKINAFASO (NLS-1) and DJIBOUTI (NLS-1)",-0.0941942156470092
"BURUNDI (NLS-1) and DJIBOUTI (NLS-1)",-0.132471742497467
"CABOVERDE (OLS) and DJIBOUTI (NLS-1)",-0.00678787833865038
"CAMEROON (NLS-1) and DJIBOUTI (NLS-1)",-0.090551723929596
"CAR (NLS-2) and DJIBOUTI (NLS-1)",0.086137820348175
"CHAD (NLS-1) and DJIBOUTI (NLS-1)",0.074967208455385
"COMOROS (NLS-1) and DJIBOUTI (NLS-1)",0.0704871800477551
"CONGODR (NLS-2) and DJIBOUTI (NLS-1)",0.101810343946861
"CONGOREPUB (NLS-1) and DJIBOUTI (NLS-1)",-0.00675640952988135
"ALGERIA (NLS-1) and EGYPT (NLS-1)",0.13173064299242
"ANGOLA (OLS) and EGYPT (NLS-1)",0.23639176705566
"BENIN (NLS-1) and EGYPT (NLS-1)",0.0772173804841778
"BOTSWANA (NLS-1) and EGYPT (NLS-1)",0.121558429766249
"BURKINAFASO (NLS-1) and EGYPT (NLS-1)",0.103759821377003
