"","ALGERIA (NLS-1)","ANGOLA (OLS)","BENIN (NLS-1)","BOTSWANA (NLS-1)","BURKINAFASO (NLS-1)","BURUNDI (NLS-1)","CABOVERDE (OLS)","CAMEROON (NLS-1)","CAR (NLS-2)","CHAD (NLS-1)","COMOROS (NLS-1)","CONGODR (NLS-2)","CONGOREPUB (NLS-1)","DJIBOUTI (NLS-1)","EGYPT (NLS-1)","EQGUINEA (NLS-2)","ERITREA (OLS)","ETHIOPIA (NLS-2)","GABON (NLS-1)","GAMBIA (NLS-1)","GHANA (OLS)","GUINEA (NLS-1)","GUINEABISSAU (NLS-1)","IVORYCOAST (NLS-1)","KENYA (NLS-1)","LESOTHO (NLS-1)","LIBERIA (NLS-2)","LIBYA (NLS-2)","MADAGASCAR (NLS-1)","MALAWI (NLS-1)","MALI (NLS-1)","MAURITANIA (OLS)","MAURITIUS (OLS)","MOROCCO (NLS-1)","MOZAMBIQUE (NLS-1)","NAMIBIA (NLS-1)","NIGER (NLS-1)","NIGERIA (NLS-1)","RWANDA (NLS-1)","SAOTOME (NLS-1)","SENEGAL (OLS)","SEYCHELLES (NLS-1)","SIERRALEONE (NLS-1)","SOMALIA (NLS-1)","SOUTHAFRICA (NLS-1)","SUDAN (OLS)","TANZANIA (NLS-1)","TOGO (OLS)","TUNISIA (NLS-1)","UGANDA (OLS)","ZAMBIA (NLS-1)","ZIMBABWE (NLS-2)"
"ALGERIA (NLS-1)",1,0.0806527410456848,0.248678770235308,-0.140843907058475,-0.0260425593300746,-0.132687693807604,-0.0313316801941489,0.153836208517745,0.119893659624321,-0.0186910811696225,0.161790338722258,-0.289008797714935,-0.100885552645275,0.0549076572486163,0.13173064299242,-0.119111258934036,0.197674685583227,-0.0599809800670241,0.0304436226340888,0.280144550999605,0.00653183574430265,-0.0494591415357057,-0.201562226932727,0.174486468583589,-0.133869938797171,0.0303446739565501,-0.236787775234583,0.115237125963469,0.0364830500256555,0.0156987837909437,0.22788104100213,0.154332752806767,0.147258923698467,0.22280506722909,-0.163173744787146,0.178003265089008,-0.117200698631347,0.293566054231809,-0.0231989149340332,0.16939403315558,0.119226861678759,0.00601936377448923,-0.19167845791497,-0.181515553305289,0.1225665373893,-0.251881067984813,0.0541875462136672,-0.0207212355333979,0.280517139429757,-0.149697004198214,0.135111814055615,0.0361374707713041
"ANGOLA (OLS)",0.0806527410456848,1,-0.14963668280023,-0.0316054262619176,0.107892970274393,-0.0772494730288115,0.134233572076478,0.233951308783823,0.0695713690314441,0.0854111941155501,-0.257971176934699,0.326010975725961,-0.0142228647099311,0.231045192518474,0.23639176705566,-0.146148344574294,-0.151883272863762,0.0710004016682511,-0.108928640273646,-0.117404186014469,0.0864994076427879,0.0281830504608119,-0.201130989552725,0.051977259354581,0.293400879854911,0.00460686315734285,0.0189009948481837,0.137834617758827,0.289701649352329,-0.00579005728750693,0.00535093666927698,0.083219157163865,-0.0391756467952123,0.393802317072167,-0.0195930577604306,0.234621995408105,0.124876724336029,-0.0218874324689448,-0.413867287856684,0.017891733777737,-0.0580417246696108,0.0600726074006466,0.0337054913995571,-0.0387869996576962,0.209823084293825,-0.171940651760311,0.200914216933346,0.284081024264738,0.0935426541809955,-0.0990848638639143,-0.170461565064338,0.120054593670703
"BENIN (NLS-1)",0.248678770235308,-0.14963668280023,1,-0.0717863801558484,0.0748826293904005,0.135414398705225,0.0627657031163431,0.372276987168414,-0.0913467165418509,-0.0645796515967093,0.0683508831868872,-0.12948005807426,0.0347888986999577,-0.153346421495199,0.0772173804841778,0.125555981101833,0.0902286906440148,0.052499341787691,-0.0805147965816814,-0.0896680408994365,0.262544367544311,0.157048696414133,-0.0447764047107525,-0.0931707525464372,0.064126059402887,0.2834489534202,0.0226905063083029,-0.0860736573340102,-0.10321851842317,0.0446678111842084,-0.142803962851839,0.0909436420559271,0.0113686744408015,-0.112372774784517,-0.0890563339819175,0.0539382677835915,-0.0252346435531382,0.0886154596690559,0.0437004526644693,0.100670106992553,-0.00870812334065468,0.140312341342074,0.0171295050953463,-0.171554520524495,0.200069771302295,-0.227012081395379,-0.100129887360964,0.0630485906933238,0.145016923347709,0.132087455763522,0.195653408093434,0.0955045826527087
"BOTSWANA (NLS-1)",-0.140843907058475,-0.0316054262619176,-0.0717863801558484,1,-0.0704771929605921,-0.119326625818575,0.234298300254584,0.142564122067549,-0.0850479684817276,0.112592528677882,0.060157613961064,0.0614593572180553,-0.161677268370834,0.0222942766152385,0.121558429766249,0.0860265167850829,-0.195094083043601,-0.0993629068853801,-0.167765265245253,-0.159289057983678,0.04267475651547,0.259584479300031,-0.122786481555885,-0.0886323030071923,0.262710859683893,0.0145655359058741,0.11745964014394,0.153468611335974,-0.00341617114257319,0.0549356591521038,0.163300597585158,0.0370722824486774,-0.00508661236820484,0.194256895518524,0.0527294525028889,0.174775524225248,0.112422474870596,0.183043689074593,-0.0259125445599545,-0.0504460491633963,-0.0894866462022561,0.201140621022122,0.10655637476789,0.18536602465112,0.193735779079661,0.145748647842299,-0.124053524150387,0.129830564441373,0.159394930931004,0.164535324376111,0.12257749051571,-0.22795824801935
"BURKINAFASO (NLS-1)",-0.0260425593300746,0.107892970274393,0.0748826293904005,-0.0704771929605921,1,0.0190164741256176,-0.150226258338819,0.0674619242638403,-0.0797424285714075,-0.036621563608173,-0.0893203460777061,0.0844230458948844,0.0378297921011951,-0.0941942156470092,0.103759821377003,-0.0322944439269848,-0.228220420328792,0.0122154478344346,0.370063229567608,-0.0946002489590863,0.0228202444803112,0.218335363410457,-0.00744590255023026,0.229586712909169,-0.0198690176922933,0.178061527688987,0.116432113609289,0.0901250766891094,0.0313278493297324,0.145678832585206,0.159299252704291,0.309393217524298,0.102918380378071,0.302354660604473,0.322141942821919,0.0874557684439911,0.37297666900616,0.0110209197353761,-0.0931944948932201,-0.02456514412335,0.342388693116424,0.0278013782501058,0.119761424366908,-0.185334244885693,0.0514710053284872,0.226468680192035,0.067748822140831,0.18712381171742,-0.0644216158840773,0.00505514223135506,0.363286830866444,0.0500314668339838
"BURUNDI (NLS-1)",-0.132687693807604,-0.0772494730288115,0.135414398705225,-0.119326625818575,0.0190164741256176,1,-0.00937967080852044,-0.0355165531697713,0.0707523754696584,0.0418173891969215,-0.0837442303921278,-0.123382179522632,-0.228913561608714,-0.132471742497467,-0.0229731482036878,-0.221147232185592,-0.0203256721360943,-0.103173761137549,-0.16596151089931,0.17052297918266,0.0973731986471762,0.0195421497772375,-0.16588810520771,0.0467373053301388,-0.340972879832376,0.177012630801144,-0.0847410507306136,-0.209839727798221,-0.0419391296446511,-0.218460664213411,0.185606274089203,-0.0269125097932746,0.0330261716738854,-0.0656254385394951,-0.174874700227492,0.147381436741113,0.139527575221322,-0.0388104458484636,-0.0328346490410335,-0.0994823653912177,-0.094966742292366,-0.0539502728739637,0.0675820367722493,-0.136092215755747,0.0108335257929025,-0.00597169729471468,0.0684470675360865,-0.165690215293099,-0.178666861925284,0.0800892368011734,-0.103614564136135,0.138530495084783
"CABOVERDE (OLS)",-0.0313316801941489,0.134233572076478,0.0627657031163431,0.234298300254584,-0.150226258338819,-0.00937967080852044,1,0.0605107906595157,0.0508258376688639,0.231689914528378,0.086442655697083,-0.0549372260105738,-0.234913056472905,-0.00678787833865038,0.10825828798258,0.0203384623228829,-0.0327568070991143,-0.10868307583419,-0.133374335890539,-0.126728229734461,0.117707413860051,0.0423121620855802,-0.0176711128655337,-0.143089207449953,-0.0492808168427671,0.234896058994487,0.167660475988358,-0.133173216437941,-0.108148846431655,-0.122240441836055,0.077694567499009,0.267864167667277,0.0558132343055147,0.0408020233609263,0.0770150246398834,0.0587001635707372,0.0353277888839938,-0.0984093455948202,-0.184637601948224,-0.0789320459429832,-0.0608138270748613,0.181921157562249,-0.197727118279804,0.113665847193759,0.0702648664456617,0.154713707039729,-0.181751757077571,-0.0354224870279374,-0.00614912137992191,0.202302506339667,-0.0154727174393867,-0.156465525934011
"CAMEROON (NLS-1)",0.153836208517745,0.233951308783823,0.372276987168414,0.142564122067549,0.0674619242638403,-0.0355165531697713,0.0605107906595157,1,-0.020677450549751,0.0167370661558229,-0.0954074368633008,0.25444415509342,-0.14562266321281,-0.090551723929596,0.0701515838755761,0.16590491877712,-0.110536096954714,-0.0349450464277316,-0.0179714763402949,-0.062082503479154,-0.0181083295575714,0.0913202403175392,-0.0701996348899614,0.0786926664332393,0.293100803703969,-0.0191086474266351,0.234255631269283,0.00692319948926952,-0.129406429535793,0.118517661774704,0.145506107753165,-0.140367240810382,0.187974788799549,0.259878872165887,-0.17400195586611,0.226596089236876,0.187122602808874,0.0294475740337969,-0.0231850783048499,-0.151328603561847,0.00482256215380254,-0.0011516926616391,0.160103617340813,0.228273250174708,0.0765766691281372,-0.237692068838687,-0.0419366591259341,0.330247773778077,0.171699091507162,-0.0704912828442065,-0.0936647479302128,-0.222769245660142
"CAR (NLS-2)",0.119893659624321,0.0695713690314441,-0.0913467165418509,-0.0850479684817276,-0.0797424285714075,0.0707523754696584,0.0508258376688639,-0.020677450549751,1,0.216544965531838,-0.136575782875097,0.0350475579930744,-0.069345671469117,0.086137820348175,0.143680857050115,0.130533264692712,0.167369956156412,-0.0389813391429606,-0.0270185929938036,-0.105909712907682,-0.018147628710824,0.0140420194493428,-0.0716278483262865,-0.0621676790949209,-0.0611517646163071,0.0144355064056105,0.0598229408951139,-0.0356812983526,-0.0120379736279276,-0.0348965815640499,0.0858807506837251,-0.175712295217856,0.074750439380053,0.063672499837547,-0.0494396646802981,0.0313348089438411,-0.0942221801864397,0.093895321261085,0.053244838936233,0.15078254151801,0.0108515786409588,-0.039907711889189,-0.329085148273349,-0.0417364826263028,0.108834682668909,-0.0159790533263864,0.0104988731589595,0.106176640531904,-0.00418482436298504,0.015209055679823,0.0219251303954113,0.125760481253899
"CHAD (NLS-1)",-0.0186910811696225,0.0854111941155501,-0.0645796515967093,0.112592528677882,-0.036621563608173,0.0418173891969215,0.231689914528378,0.0167370661558229,0.216544965531838,1,-0.184565455892339,0.0863751342897179,0.046563210633227,0.074967208455385,0.176485105063109,0.210015641435416,0.0039697506459277,-0.0719681666843841,-0.0694876219286937,0.212974153281322,0.100440188002498,0.0735650898618117,-0.218031394551575,-0.14340327406542,-0.10002929313166,-0.057827556793081,0.138704207566227,0.091122236262142,-0.0356310653824775,-0.143642672316439,-0.0256687799958136,-0.103014752269568,-0.0329959012888491,0.289042782401091,-0.0440545195334752,0.0524363561136445,-0.0391822740946949,0.025829807572518,-0.0161244723536277,0.0263105511958319,-0.0677923082387346,-0.389706963642337,-0.187505221291113,0.0153492594623262,-0.0163439530146062,-0.00624726749400982,-0.147215094770916,0.290640496855823,0.0667507852634248,0.116378052182576,0.188798962680888,-0.0262248570281066
