"","Estimation_Type","SEFM_ME","SEFM_MAE","MA1_ME","MA1_MAE","AR1_ME","AR1_MAE","OLS_ME","OLS_MAE","RW_ME","RW_MAE"
"ALGERIA","NLS",-3.93031096471212,3.93031096471212,-0.481376027863151,0.509122347181123,-0.624548752441885,0.624548752441885,-2.01355057275151,2.01355057275151,-13.6473425079406,149.055782978296
"ANGOLA","OLS",0.783208221479878,2.90480304576061,-0.0051354998290194,1.47861628996883,-0.272798358072055,1.62689650911595,0.783208221479878,2.90480304576061,23.194760830599,79.8232287638804
"BENIN","NLS",-0.70883627884332,2.44114097569801,0.982419373381993,1.65777545712676,0.980576648171541,1.65109307833863,2.73000911313847,2.76270804434628,10.9458675828725,43.6146391984938
"BOTSWANA","NLS",-4.53494160426162,6.103125101136,-2.93007073840902,3.92079581436331,-1.7737085384726,4.20494613774221,-3.0504628217339,4.03824565041118,8.04494403187171,58.3236628434161
"BURKINAFASO","NLS",2.52122360809139,2.66118892862918,1.25272300859622,1.38238970817638,1.25218744887664,1.38587553519213,0.452395116367398,1.78225336880558,-16.1751441139121,39.3733049942149
"BURUNDI","NLS",0.58614001920585,2.13905272493333,-0.417713629242559,2.742996312001,-0.764375451774337,2.63143078886923,-1.60227330644937,3.09287350589648,-3.08991093301623,62.2707684271695
"CABOVERDE","OLS",-4.28198139757416,4.28198139757416,-3.08788167644699,3.08788167644699,-2.6917685690982,2.6917685690982,-4.28198139757416,4.28198139757416,78.0082189834993,126.252686361587
"CAMEROON","NLS",0.570064188295616,1.1697918861948,1.1638795277391,1.1638795277391,1.0744709164183,1.0744709164183,3.03011469996645,3.03011469996645,3.29051317485801,79.0122606402117
"CAR","NLS w/o relations",-7.29555216158972,13.5889222006831,-8.87046025279113,12.9601190377289,-8.26905925456458,12.5519934878342,NA,NA,-11.2483508431559,121.521324381014
"CHAD","NLS",-3.69785077766034,4.95485734436372,-1.16684072132104,4.69047779275347,-1.30281589490653,4.63414924106474,-1.92293703269382,3.98999938494463,43.0212558971342,53.1223401763759
"COMOROS","NLS",-0.273817743062314,0.553925525680344,-0.646397765861171,0.780512853339332,-0.695716173069417,0.810343826942909,1.2373372826647,1.67233049183675,48.0472757997779,75.6389041041047
"CONGODR","NLS w/o relations",2.74117235354369,2.74117235354369,3.95046510715995,3.96803631359489,2.97847439752411,3.44033842527758,NA,NA,-5.07278222922959,55.6555297985119
"CONGOREPUB","NLS",1.07800584789109,3.32515689373542,-1.30731916131723,2.37185162403024,-1.39732736323054,2.37334904219408,0.724811609086642,3.11594995346228,44.4648008890073,54.4837736722919
"DJIBOUTI","NLS",1.06499689968125,1.26373917503191,2.32988520428564,2.32988520428564,1.24156264658299,1.24156264658299,0.683086287061033,2.09355076880922,14.5855638335276,75.0799025665148
"EGYPT","NLS",-1.00052702009511,1.2855773102893,-1.42462231464681,1.42462231464681,-1.02370197460811,1.19940732675319,-1.30531776901271,1.48102312115779,-72.7517241144948,72.7517241144948
"EQGUINEA","NLS w/o relations",-8.38688155022028,8.38688155022028,-10.3546855472381,10.3546855472381,-9.71183076451883,9.71183076451883,NA,NA,-6.90865419476293,129.251211411925
"ERITREA","OLS",0.635795388083782,1.80338492660999,1.373802129864,2.12681761035003,0.476382823747281,1.94083406306825,0.635795388083782,1.80338492660999,-12.8037115451379,58.0580392069122
"ETHIOPIA","NLS w/o relations",3.93645349410658,4.28411914346601,3.93063635426504,3.93063635426504,3.68438137591349,3.68438137591349,NA,NA,-44.2104261273864,84.4791006700581
"GABON","NLS",1.27843704812272,3.37550265731323,0.387373759264392,0.99277663328921,0.497290569355688,0.967698516310404,1.09869165485366,2.20449463083924,-16.6421042789311,94.7860505331631
"GAMBIA","NLS",1.0301102477474,2.73683570379208,-1.84552320004551,2.29417949540964,-1.83570931943409,2.37151035967832,-0.570883646620752,2.51383919504418,-98.4543833342059,98.4543833342059
"GHANA","OLS",0.226738091514777,2.80907828535676,2.3843355591092,2.56413214708102,1.90988075483677,2.23687801567267,0.226738091514777,2.80907828535676,41.0109420564185,98.1071683091201
