"","ALGERIA","ANGOLA","BENIN","BOTSWANA","BURKINAFASO","BURUNDI","CABOVERDE","CAMEROON","CAR","CHAD","COMOROS","CONGODR","CONGOREPUB","DJIBOUTI","EGYPT","EQGUINEA","ERITREA","ETHIOPIA","GABON","GAMBIA","GHANA","GUINEA","GUINEABISSAU","IVORYCOAST","KENYA","LESOTHO","LIBERIA","LIBYA","MADAGASCAR","MALAWI","MALI","MAURITANIA","MAURITIUS","MOROCCO","MOZAMBIQUE","NAMIBIA","NIGER","NIGERIA","RWANDA","SAOTOME","SENEGAL","SEYCHELLES","SIERRALEONE","SOMALIA","SOUTHAFRICA","SUDAN","TANZANIA","TOGO","TUNISIA","UGANDA","ZAMBIA","ZIMBABWE"
"1960",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"1961",86.4,100,103.1,106.3,104,86.3,100,101.2,105,101.4,100,89.1,108.4,100,104.4,100,100,100,114.8,100,103.4,100,100,109.9,92.2,101.9,102.4,100,102,107.6,100,115.5,100,100,100,100,104.5,100.2,95.7,100,103,95.1,101.8,96.7,103.8,100,100,112.2,100,100,101.4,106.3
"1962",69.3792,105.2,99.5946,113.4221,110.344,94.1533,104.5,104.236,101.115,106.8756,103.2,107.9892,114.0368,101.7,111.6036,118.7,82.5,103.8,123.2952,104.5,107.6394,105.7,100.8,111.2188,100.959,117.4907,103.7312,132.6,104.346,108.3532,87.3,116.3085,102.7,116.6,108.2,100,115.2635,104.3082,106.5141,118.4,102.897,103.0884,106.381,103.5657,110.2356,106.9,103.5,116.4636,104.8,103.6,98.865,107.7882
"1963",93.1762656,114.8784,104.2755462,120.1140039,108.909528,98.0135853,105.127,108.092732,100.407195,105.1655904,106.5024,113.6046384,109.475328,103.9374,121.7595276,119.1748,70.7025,108.99,130.8162072,108.5755,112.3755336,109.928,99.5904,127.345526,109.843392,129.9447142,106.1170176,138.8322,103.406886,106.8362552,92.7126,113.98233,111.5322,132.1078,116.0986,105.6,126.098269,113.2787052,96.0757182,140.896,104.852043,113.5003284,108.189477,106.4655396,118.3930344,103.9068,106.812,122.28678,117.376,109.9196,102.127545,114.4710684
"1964",98.5804890048,126.940632,111.2620077954,128.2817561652,111.414447144,104.1884411739,120.265288,111.87597762,102.515746095,102.53645064,106.6089024,110.8781270784,113.635390464,106.2240228,131.6220493356,130.1388816,62.5717125,118.90809,136.8337527312,114.1128505,114.8477953392,112.566272,97.7977728,149.758338576,115.3355616,140.7301254786,111.6351025152,132.8624154,107.54316144,109.7208340904,92.0636118,145.55543541,111.3091356,144.658041,124.5737978,111.3024,126.224367269,118.94264046,84.066253425,179.501504,108.941272677,120.1968477756,115.438171959,99.9711416844,127.7460841176,102.7638252,112.579848,139.77378954,123.127424,120.91156,114.58710549,113.2118866476
"1965",104.692479323098,136.588120032,117.158894208556,135.722098022782,115.648196135472,108.355978820856,123.993511928,114.1134971724,103.438387809855,103.15166934384,109.5939516672,111.986908349184,117.839899911168,110.0480876208,138.334773851716,104.3713830432,57.31568865,123.90222978,148.19095420789,122.100750035,116.455664473949,117.06892288,92.5166930688,145.115830080144,117.642272832,143.826188239129,116.99358743593,110.5415296128,107.0054456328,124.642867526694,94.9175837658,168.98986051101,126.6697963128,156.809316444,131.5499304768,117.6466368,134.933848610561,124.77082984254,89.95089116475,218.273828864,110.357509221801,118.874682450068,123.749720340048,94.0728443250204,135.538595248774,109.7517653136,115.732083744,161.4387269187,126.328737024,127.19896112,133.60856500134,118.759269093332
"1966",99.6672403155889,146.968817154432,121.376614400064,144.272590198217,116.226437116149,113.340353846615,130.937148595968,119.36271804233,104.059018136714,101.294939295651,112.662582313882,119.602018116929,119.489658509924,113.019385986562,139.856456364084,115.12163549665,53.93406301965,130.59295018812,154.859547147245,128.083686786715,111.448070901569,120.11271487488,91.128942672768,161.949266369441,134.935686938304,143.250883486173,126.002093668496,107.999074431706,109.252559991089,141.095726040218,93.1141496742498,169.327840232032,130.976569387435,163.86573568398,140.232225888269,124.3524950976,134.394113216119,119.405684159311,96.2474535462825,242.938771525632,113.557876989233,135.398263310628,125.853465585829,102.633473158597,141.50229343972,105.80070176231,119.898438758784,176.613967249058,130.75024281984,135.21249567056,126.126485361265,120.540658129732
"1967",109.13562814557,153.87635156069,122.711757158465,152.784673019912,126.45436358237,128.981322677448,141.804931929433,106.352181775716,108.94979198914,102.105298810016,118.971686923459,118.405997935759,121.998941338633,121.043762391607,140.695595102269,126.173312504328,52.1542389400016,131.115321988872,161.208788580282,128.083686786715,114.902961099518,122.154631027753,91.2200716154407,169.398932622435,139.523500294206,158.865229786166,134.444233944285,92.1232104902449,115.261450790599,151.395714041154,104.28784763516,175.423642480385,145.253015450666,180.252309252378,151.310571733442,131.564939813261,134.528507329335,100.658991746299,102.888527840976,263.345628333785,112.195182465362,136.075254627181,125.853465585829,108.688848074954,151.690458567379,107.281911586983,124.694376309135,186.327735447756,131.01174330548,144.406945376158,136.090477704805,130.66607341263
"1968",120.922275985291,153.87635156069,127.374803930487,168.979848360022,130.374448853424,128.594378709416,146.768104546964,113.052369227586,110.475089076988,101.594772315966,122.421865844239,123.497455846997,131.270860880369,128.064300610321,144.49437617003,152.16501488022,51.0068456833215,123.510633313518,165.239008294789,140.37972071824,115.362572943916,127.040816268863,88.3010293237466,190.573799200239,150.685380317743,158.229768867021,140.897557173611,91.6625944377936,123.099229444359,148.519195474372,108.146497997661,193.316854013384,157.890027794874,198.097287868363,166.139007763319,139.59040114187,135.066621358652,99.4510838453434,110.090724789844,274.14279909547,119.26347896068,146.416973978847,128.370534897545,110.862625036454,158.061457827209,109.427549818722,129.557456985192,195.644122220144,144.63696460925,153.215769044104,137.723563437262,133.279394880883
"1969",131.079747168056,151.260453584159,131.068673244471,194.495805462386,132.981937830492,126.665463028775,156.60156755161,118.591935319738,118.318820401454,108.604811605768,129.889599660738,134.982719240768,141.116175446397,136.772673051822,154.319993749592,197.358024299645,52.3330236710879,128.451058646059,178.623367966667,143.748834015477,122.284327320551,131.360204022004,87.5063200598329,208.678310124262,162.740210743162,160.603215400026,151.183078847285,85.9795135826504,127.653900933801,157.28182800736,108.362790993656,195.636656261545,174.31059068554,214.737460049306,178.101016322278,148.105415611524,127.637957183926,123.518246135916,122.200704516727,292.236223835771,111.392089349275,146.416973978847,139.282030363837,108.977960410834,165.490346345088,110.959535516185,133.573738151733,216.773687419919,151.434901945884,167.618051334249,137.172669183513,149.806039846112
"1970",142.745844666013,147.32768179097,133.821115382605,227.754588196454,133.114919768323,153.645206653904,166.780669442465,122.26828531465,121.040153270687,110.668303026277,134.565625248524,134.712753802286,150.147610674966,142.380352646947,162.961913399569,156.307555245319,54.6356767126158,129.093313939289,194.163600979766,152.661261724437,134.145907070644,136.483251978863,87.8563453400723,230.380854377185,155.091420838234,164.136486138827,161.312345130053,68.1817542710418,134.419557683292,158.068237147397,114.972921244269,219.11305501293,188.081127349698,224.830120671623,192.705299660705,157.584162210661,131.594733856628,154.397807669896,129.532746787731,307.724743699067,120.971809033313,159.448084662964,151.260284975127,113.990946589732,174.095844355033,117.506148111639,140.920293750078,222.193029605417,158.552342337341,194.101703445061,143.756957304322,183.662204851333
"1971",126.615564218753,148.358975563507,131.813798651865,286.515271951139,134.978528645079,157.793627233559,168.948818145217,126.547675300663,122.371594956665,108.233600359699,146.676531520892,142.795519030423,161.859124307613,150.211272042529,168.502618455155,193.821368504195,57.5313675783844,132.707926729589,214.162451880682,152.508600462713,141.121494238318,138.121051002609,84.4299478718094,252.267035543018,189.521716264322,172.507446931907,169.216650041425,65.1135753288449,139.66192043294,183.675291565275,117.96221719662,223.057090003163,208.581970230815,237.420607429234,209.856071330508,169.24539021425,139.095633686456,176.322296359021,131.087139749184,336.035420119381,120.85083722428,184.800330124375,156.554394949256,116.954711201065,181.581965662299,120.091283370095,145.852504031331,222.193029605417,175.358890625099,212.929568679232,143.613200347018,200.008141083102
"1972",161.308228814692,147.765539661253,140.249881765585,362.155303746239,138.083034803916,147.694835090611,165.062995327877,129.964462533781,122.371594956665,109.424169963656,145.356442737204,143.081110068484,175.779008998068,158.022258188741,171.872670824258,227.933929360934,61.2709064709794,132.44251087613,238.3628089432,152.813617663638,137.59345688236,142.540924634692,89.8334645356052,262.862251035825,221.929929745521,172.162432038043,176.154532693124,86.080146584733,137.846315467312,195.063159642322,124.804025794024,221.495690373141,237.783446063129,243.118702007536,227.27412525094,178.723132066248,131.86266073476,182.317254435227,131.480401168431,378.375883054423,128.585290806634,196.442750922211,157.963384503799,128.767137032373,184.668859078558,113.966627918221,150.082226648239,239.079699855429,206.397414265742,229.751004604891,156.825614778943,216.608816792999
"1973",167.43794150965,150.277553835494,145.439127390911,439.294383444188,138.635366943132,157.885778711863,178.76322394009,136.982543510605,124.696655260841,100.232539686709,146.810007164576,154.670679984031,190.19288773591,163.078970450781,173.075779520028,200.353923908261,65.8049535498318,113.900559353472,262.675815455406,167.025284106356,141.583667131948,146.674611449098,90.8216326454969,278.371123846938,235.023795600506,217.613314096086,172.102978441182,99.2504090121971,134.262311265162,199.549612314095,122.931965407114,211.306888615977,262.988491345821,251.870975279807,246.137877646768,191.055028178819,109.446008409851,192.16238617473,135.950734808158,416.59184724292,121.384514521462,214.319041256132,161.596542347387,126.191794291725,193.163626596172,114.65042768573,157.436255754003,248.164728449935,204.952632365881,244.225317894999,155.257358631154,222.240646029617
